,Time (h),Oda,gDCWL,mu,log10_oda,regions
148,148.0,1534.5,26.30812208896553,0.004186242283724884,1.4200898486365496,0
149,149.0,1541.0,26.418485104047413,0.0025033592912722114,1.4219079105602812,0
150,150.0,1544.9,26.484702913096545,0.007218138256436024,1.422995105686702,0
151,151.0,1556.2,26.67656477008505,0.00444541866685455,1.426129903301087,0
152,152.0,1563.2,26.795417247865544,0.0054976183708035364,1.4280605240978517,0
153,153.0,1571.9,26.943133898821298,0.0030831063850706997,1.4304481094199017,0
154,154.0,1576.8,27.026330633267637,0.001945638940721306,1.4317870855100583,0
155,155.0,1579.9,27.078965301999002,-0.0008782069228092659,1.4326320657657898,0
156,156.0,1578.5,27.055194806442902,-6.275858780879773e-05,1.4322506653452445,0
157,157.0,1578.4,27.05349691390318,-0.0020732460767804994,1.4322234096368671,0
158,158.0,1575.1,26.997466460092376,0.002136004664589297,1.4313230103060937,0
159,159.0,1578.5,27.055194806442902,-0.00106743201791204,1.4322506653452445,0
160,160.0,1576.8,27.026330633267637,-0.0011943621783006009,1.4317870855100583,0
161,161.0,1574.9,26.994070675012935,0.004518484221851526,1.4312683806066286,0
162,162.0,1582.1,27.116318937872865,0.0019391883934050114,1.4332307333707457,0
163,163.0,1585.2,27.16895360660423,0.000999402048072806,1.4340729121893723,0
164,164.0,1586.8,27.196119887239767,0.0008112793587793377,1.4345069469840532,0
165,165.0,1588.1,27.218192490256143,-0.0004991709408752598,1.4348592811328529,0
166,166.0,1587.3,27.204609349938373,-0.0009990900191056973,1.4346424939477045,0
167,167.0,1585.7,27.177443069302836,-0.003692795438355656,1.4342085946654821,0
168,168.0,1579.8,27.077267409459278,-0.0011293357604245102,1.432604833983807,0
169,169.0,1578.0,27.046705343744293,0.005071997298593978,1.4321143696948384,0
170,170.0,1586.1,27.184234639461717,0.003055803624682163,1.434317110133846,0
171,171.0,1591.0,27.267431373908064,0.0019284520278244344,1.4356442287858253,0
172,172.0,1594.1,27.32006604263942,-0.0011192935192405606,1.4364817448601246,0
173,173.0,1592.3,27.28950397692444,-0.0025541884217261668,1.4359956418610884,0
174,174.0,1588.2,27.219890382795867,0.0,1.4348863719237914,0
175,175.0,1588.2,27.219890382795867,-0.0007488031533471329,1.4348863719237914,0
176,176.0,1587.0,27.19951567231921,0.0016216987510446756,1.4345611708462611,0
177,177.0,1589.6,27.243660878351964,-0.0003740048175808752,1.4352654656651491,0
178,178.0,1589.0,27.233473523113638,0.001059317229290091,1.4351030374366687,0
179,179.0,1590.7,27.2623376962889,-6.228172481126393e-05,1.4355630930639343,0
180,180.0,1590.6,27.26063980374918,0.0011826899692235493,1.4355360444545255,0
181,181.0,1592.5,27.292899762003884,-0.0017434001170038016,1.4360496801819616,0
182,182.0,1589.7,27.245358770891688,0.0019300128406727346,1.4352925311313973,0
183,183.0,1592.8,27.297993439623045,0.0,1.436130725058104,0
