,Time (h),Oda,gDWL,GR-Exp,GR,mu
159,159.0,1578.5,27.055194806442902,3.6194993359374603,3.2978790314547637,0.03698120889971578
160,160.0,1576.8,27.026330633267637,3.6160584129635986,3.2968115994368516,0.037023054055766356
161,161.0,1574.9,26.994070675012935,3.612215959862911,3.295617237258551,0.03696154134336226
162,162.0,1582.1,27.116318937872865,3.6267951639678797,3.3001357214804026,0.03684241660762
163,163.0,1585.2,27.16895360660423,3.633087669832141,3.3020749098738076,0.036788328202921126
164,164.0,1586.8,27.196119887239767,3.636339033529765,3.3030743119218804,0.03675503782573518
165,165.0,1588.1,27.218192490256143,3.638982581703142,3.3038855912806597,0.03674930312117953
166,166.0,1587.3,27.204609349938373,3.6373555901996295,3.3033864203397845,0.036776842310859016
167,167.0,1585.7,27.177443069302836,3.6341034562328822,3.3023873303206788,0.0368632005431521
168,168.0,1579.8,27.077267409459278,3.622132503466231,3.298694534882323,0.03695220640373054
169,169.0,1578.0,27.046705343744293,3.618487011586882,3.2975651991218986,0.03687939556540149
170,170.0,1586.1,27.184234639461717,3.6349162586364856,3.3026371964204926,0.036729850576681586
171,171.0,1591.0,27.267431373908064,3.6448855951060883,3.3056930000451747,0.03663843763636224
172,172.0,1594.1,27.32006604263942,3.6512046789918267,3.307621452072999,0.03662362124599052
173,173.0,1592.3,27.28950397692444,3.6475344050869394,3.3065021585537586,0.03669094310816248
174,174.0,1588.2,27.219890382795867,3.6391859989877933,3.3039479701320325,0.0
175,175.0,1588.2,27.219890382795867,3.6391859989877933,3.3039479701320325,0.036751597241348584
176,176.0,1587.0,27.19951567231921,3.636745627306456,3.3031991669786853,0.03673555742024423
177,177.0,1589.6,27.243660878351964,3.6420348526070354,3.30482086572973,0.036712651010129195
178,178.0,1589.0,27.233473523113638,3.640813684092128,3.304446860912149,0.03670007184539778
179,179.0,1590.7,27.2623376962889,3.644274562664605,3.305506178141439,0.03668178247695208
180,180.0,1590.6,27.26063980374918,3.6440709044645003,3.305443896416628,0.03666123681517893
181,181.0,1592.5,27.292899762003884,3.6479420589634515,3.3066265863858515,0.03667151391289651
182,182.0,1589.7,27.245358770891688,3.6422384144213233,3.3048831862688477,0.03666809133963273
183,183.0,1592.8,27.297993439623045,3.648553612114327,3.3068131991095204,0.0
